matrix_shape,method,rank_strategy,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type
16x16,svd_baseline,full_rank,4.119936575079919e-05,7.352304380200124e-06,0.00044224199982636494,7.070594173802873e-05,16.0,0.0,square
16x16,svd_baseline,half_rank,0.000107499566001934,2.897664009013199e-05,0.0004581000002872315,5.1544618942220366e-05,16.0,0.0,square
16x16,svd_baseline,fixed_rank,4.3527401703613575e-05,8.955587567284076e-06,0.0004001579999567184,3.314126551755771e-05,16.0,0.0,square
32x32,svd_baseline,full_rank,0.0001488632089603925,1.9897369204928758e-05,0.0004834619999201095,6.240098969246276e-05,32.0,0.0,square
32x32,svd_baseline,half_rank,0.0005300758275552653,0.00012876129931277777,0.0005209515000387909,5.740510365256096e-05,32.0,0.0,square
32x32,svd_baseline,fixed_rank,0.00013652050765813328,1.5551812895788542e-05,0.00046956149972174897,8.21340129607317e-05,32.0,0.0,square
64x64,svd_baseline,full_rank,0.0006093207135563717,3.8373411705633656e-05,0.0017232599997441867,0.00013237877350308556,64.0,0.0,square
64x64,svd_baseline,half_rank,0.0033396410522982477,0.0003823766051804318,0.0028160921000562667,0.000378270473150623,64.0,0.0,square
64x64,svd_baseline,fixed_rank,0.003339049860369414,0.00042147998742312904,0.002643896700010373,0.0002901738536606064,64.0,0.0,square
128x128,svd_baseline,full_rank,0.003336632647551596,0.00021139608399334075,0.0030539506500645076,0.00017937475276057034,128.0,0.0,square
128x128,svd_baseline,half_rank,0.023214070964604615,0.0013196133988529713,0.005889896100052283,0.0003844460578035481,128.0,0.0,square
128x128,svd_baseline,fixed_rank,0.013183681666851044,0.001422733316091832,0.005478565249995881,0.0003063981390615045,128.0,0.0,square
256x256,svd_baseline,full_rank,0.01648781569674611,0.00043043732138758857,0.006851444750191149,0.00030547604891101483,256.0,0.0,square
256x256,svd_baseline,half_rank,0.1780123308300972,0.005324257839621165,0.01632297009964532,0.0017216434199957746,256.0,0.0,square
256x256,svd_baseline,fixed_rank,0.03342185784131289,0.0028570735605682866,0.015050258299743291,0.00060497688873991,256.0,0.0,square
512x512,svd_baseline,full_rank,0.08547013476490975,0.001474398826603519,0.017547730850037625,0.0004978366586314342,512.0,0.0,square
512x512,svd_baseline,half_rank,1.078042244911194,0.02820059133815773,0.04504566649984554,0.0028862586170532805,512.0,0.0,square
