Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04205078506469727
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04269913482666016
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04242073440551758
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04334281539916992
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.042254463195800784
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04314992141723633
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.042588001251220704
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04209878540039062
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04361772918701172
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04287702560424805
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04277740859985352
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04213427352905273
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04271225738525391
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04337382507324219
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04277814483642578
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04266972732543945
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04216934585571289
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.042367008209228514
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04283580780029297
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04319158554077149
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04293801498413086
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04197040176391602
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04230640029907227
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.042017601013183595
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04357791900634766
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04278361511230469
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.042319297790527344
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04217379379272461
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04276601409912109
(64, 64, 64, 64, 8);(12, 3, 39, 8);(12, 3, 39, 8);0.04327439880371094
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04215017700195312
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.042178272247314456
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04236326217651367
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.0421978874206543
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.042500255584716796
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04265628814697266
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.042033248901367185
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04265760040283203
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04223027038574219
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04179811096191406
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04319267272949219
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04204755020141602
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.042201503753662106
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04246745681762695
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04221830368041992
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04188819122314453
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04215856170654297
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04251855850219727
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04292387390136719
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04261859130859375
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04160281753540039
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.042294273376464846
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04189046478271485
(64, 64, 64, 64, 16);(11, 1, 12, 2);(11, 1, 12, 2);0.04333321762084961
