matrix_shape,method,rank_strategy,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type
16x16,svd_baseline,full_rank,4.2056267466250576e-05,1.1858604793795452e-05,0.0015330069998526596,0.00050329747497125,16.0,0.0,square
16x16,svd_baseline,half_rank,0.00011933036366826855,3.869459751738403e-05,0.0006260107502384926,0.00013918229444321646,16.0,0.0,square
16x16,svd_baseline,fixed_rank,4.123787512071431e-05,8.427470604729586e-06,0.0005249438490864122,5.611991904387541e-05,16.0,0.0,square
32x32,svd_baseline,full_rank,0.00014450041853706353,1.573068963713985e-05,0.0009020284498546971,0.0002566752438502584,32.0,0.0,square
32x32,svd_baseline,half_rank,0.0005095968474051916,9.465585158179653e-05,0.0010747986494607175,0.0002465726077267526,32.0,0.0,square
32x32,svd_baseline,fixed_rank,0.00015225325114442967,2.3352927715475173e-05,0.0008933701506975922,0.00028660973271567736,32.0,0.0,square
64x64,svd_baseline,full_rank,0.0005967653502011672,4.6695614260402064e-05,0.0029161494998334093,0.00044386187884810056,64.0,0.0,square
64x64,svd_baseline,half_rank,0.0033384109730832277,0.00046532236649417507,0.004637417049525539,0.0006715111323802301,64.0,0.0,square
64x64,svd_baseline,fixed_rank,0.0033742707106284796,0.0004690429813707163,0.004297723350282468,0.0004315291672909129,64.0,0.0,square
128x128,svd_baseline,full_rank,0.0033420892199501396,0.0001691168484390652,0.005884762600180693,0.0005447647100095464,128.0,0.0,square
128x128,svd_baseline,half_rank,0.023682523891329764,0.0014936464027708613,0.010492461200010439,0.0007995051766114202,128.0,0.0,square
128x128,svd_baseline,fixed_rank,0.01273905225098133,0.0009112349118209192,0.009565856849803822,0.000697819060898084,128.0,0.0,square
256x256,svd_baseline,full_rank,0.016543437261134386,0.0003934731457781192,0.013685677600369673,0.0006125842837353463,256.0,0.0,square
256x256,svd_baseline,half_rank,0.1811196483671665,0.00740150775310403,0.028836338699147746,0.0008310682798754922,256.0,0.0,square
256x256,svd_baseline,fixed_rank,0.033287960570305586,0.00189774154821656,0.028773080099381333,0.0014080610593403872,256.0,0.0,square
512x512,svd_baseline,full_rank,0.08461804389953613,0.0014807811683704537,0.03102832924996619,0.0015769520900759501,512.0,0.0,square
512x512,svd_baseline,half_rank,1.0866137981414794,0.042281068989891105,0.07820129280007677,0.005260389658427815,512.0,0.0,square
512x512,svd_baseline,fixed_rank,0.08943018317222595,0.006472542434391758,0.07367499730007694,0.0025518297698919386,512.0,0.0,square
1024x1024,svd_baseline,full_rank,0.31015605181455613,0.008321660532661345,0.0884088063499803,0.002726876463566676,1024.0,0.0,square
1024x1024,svd_baseline,half_rank,6.295574712753296,0.21443293955261034,0.2185331396496622,0.023018597194874674,1024.0,0.0,square
1024x1024,svd_baseline,fixed_rank,0.2438879579305649,0.0748857655678251,0.19745910729998287,0.006965090444802387,1024.0,0.0,square
256x16,svd_baseline,full_rank,0.00018004712837864644,4.109474705788502e-05,0.0013728096502745757,0.0001925833992999241,16.0,0.0,rectangular
256x16,svd_baseline,half_rank,0.0004559277731459588,0.00012911805316325714,0.001540471000225807,0.0002231013125448047,16.0,0.0,rectangular
256x16,svd_baseline,fixed_rank,0.00017169497878057882,2.6695986796699043e-05,0.0018776250502924086,0.0004312994230294862,16.0,0.0,rectangular
256x32,svd_baseline,full_rank,0.0003641960458480753,4.028061102760644e-05,0.0022426211997299108,0.00036728557939363704,32.0,0.0,rectangular
256x32,svd_baseline,half_rank,0.0014644608832895755,0.00027926893510247077,0.0022686415004500304,0.0003555917386712935,32.0,0.0,rectangular
256x32,svd_baseline,fixed_rank,0.00038723449542885644,3.622302219631512e-05,0.0021713035999709972,0.00034375203605163895,32.0,0.0,rectangular
256x64,svd_baseline,full_rank,0.0011603681137785315,9.416302429860576e-05,0.0037830779003343194,0.000415112535258635,64.0,0.0,rectangular
256x64,svd_baseline,half_rank,0.004912019229959696,0.0006044041187945409,0.003767626449916861,0.0005096569366664644,64.0,0.0,rectangular
