Shape;Tucker Rank;Calculated Rank;Time
(64, 64, 16);(49, 38);(31, 28);0.015140224456787109
(64, 64, 16);(49, 38);(32, 29);0.014897215843200683
(64, 64, 16);(49, 38);(30, 25);0.014785759925842286
(64, 64, 16);(49, 38);(45, 61);0.002469343900680542
(64, 64, 16);(49, 38);(20, 31);0.014996864318847657
(64, 64, 16);(49, 38);(32, 27);0.015177760124206543
(64, 64, 16);(49, 38);(38, 38);0.014602368354797363
(64, 64, 16);(49, 38);(52, 61);0.005593183994293213
(64, 64, 16);(49, 38);(20, 37);0.014632224082946777
(64, 64, 16);(49, 38);(45, 61);0.0027257919311523436
(64, 64, 16);(49, 38);(28, 26);0.014800640106201171
(64, 64, 16);(49, 38);(22, 33);0.01495036792755127
(64, 64, 16);(49, 38);(34, 35);0.015433152198791504
(64, 64, 16);(49, 38);(36, 35);0.014738143920898438
(64, 64, 16);(49, 38);(56, 56);0.0030785279273986815
(64, 64, 16);(49, 38);(35, 28);0.014973952293395995
(64, 64, 16);(49, 38);(31, 26);0.014870176315307617
(64, 64, 16);(49, 38);(30, 26);0.015154815673828126
(64, 64, 16);(49, 38);(49, 61);0.002468767881393433
(64, 64, 16);(49, 38);(51, 59);0.002249919891357422
(64, 64, 16);(49, 38);(29, 35);0.014793567657470703
(64, 64, 16);(49, 38);(28, 28);0.014749759674072266
(64, 64, 16);(49, 38);(55, 59);0.004478943824768066
(64, 64, 16);(49, 38);(26, 22);0.014776448249816894
(64, 64, 16);(49, 38);(50, 58);0.0036435840129852297
(64, 64, 16);(49, 38);(23, 35);0.014930015563964843
(64, 64, 16);(49, 38);(27, 29);0.023041568756103515
(64, 64, 16);(49, 38);(26, 27);0.014797375679016114
(64, 64, 16);(49, 38);(51, 61);0.0020740160942077637
(64, 64, 32);(32, 7);(30, 50);0.0072226881980896
(64, 64, 32);(32, 7);(41, 39);0.014895744323730468
(64, 64, 32);(32, 7);(38, 33);0.014977055549621582
(64, 64, 32);(32, 7);(26, 52);0.005108831882476806
(64, 64, 32);(32, 7);(34, 42);0.006268352031707764
(64, 64, 32);(32, 7);(24, 57);0.00308732795715332
(64, 64, 32);(32, 7);(18, 61);0.002038367986679077
(64, 64, 32);(32, 7);(27, 57);0.0026663999557495115
(64, 64, 32);(32, 7);(19, 58);0.00337062406539917
(64, 64, 32);(32, 7);(27, 55);0.004075136184692383
(64, 64, 32);(32, 7);(32, 49);0.003810688018798828
(64, 64, 32);(32, 7);(19, 57);0.004346015930175781
(64, 64, 32);(32, 7);(29, 55);0.0020392000675201415
(64, 64, 32);(32, 7);(40, 40);0.004850719928741455
(64, 64, 32);(32, 7);(15, 60);0.0021296319961547853
(64, 64, 32);(32, 7);(21, 56);0.003019520044326782
(64, 64, 32);(32, 7);(20, 57);0.002757823944091797
(64, 64, 32);(32, 7);(19, 60);0.002004767894744873
(64, 64, 32);(32, 7);(19, 62);0.0020564160346984864
(64, 64, 32);(32, 7);(31, 44);0.007464767932891846
(64, 64, 32);(32, 7);(23, 58);0.0020471999645233154
(64, 64, 32);(32, 7);(25, 53);0.005454112052917481
(64, 64, 32);(32, 7);(13, 63);0.0021079039573669435
(64, 64, 32);(32, 7);(15, 60);0.0027484478950500486
(64, 64, 32);(32, 7);(33, 49);0.00961638355255127
(64, 64, 32);(32, 7);(31, 52);0.0034797120094299315
(64, 64, 32);(32, 7);(37, 48);0.01514799976348877
(64, 64, 32);(32, 7);(22, 52);0.0035510079860687255
(64, 64, 32);(32, 7);(30, 53);0.002706048011779785
(64, 64, 32);(32, 7);(29, 34);0.01482908821105957
(64, 64, 64);(18, 5);(16, 59);0.0021012160778045652
(64, 64, 64);(18, 5);(38, 33);0.011437472343444824
(64, 64, 64);(18, 5);(28, 44);0.00632912015914917
(64, 64, 64);(18, 5);(51, 37);0.0034297919273376465
(64, 64, 64);(18, 5);(24, 55);0.0023727679252624513
(64, 64, 64);(18, 5);(29, 40);0.009902079582214356
(64, 64, 64);(18, 5);(36, 32);0.014985535621643066
(64, 64, 64);(18, 5);(29, 46);0.009214495658874512
(64, 64, 64);(18, 5);(26, 52);0.005868415832519531
(64, 64, 64);(18, 5);(22, 57);0.0021146879196166993
(64, 64, 64);(18, 5);(19, 59);0.003009119987487793
(64, 64, 64);(18, 5);(17, 59);0.0024704320430755616
(64, 64, 64);(18, 5);(16, 55);0.00495036792755127
(64, 64, 64);(18, 5);(34, 37);0.015099935531616211
(64, 64, 64);(18, 5);(34, 38);0.01646438407897949
(64, 64, 64);(18, 5);(32, 43);0.005439583778381348
(64, 64, 64);(18, 5);(20, 54);0.008225119590759278
(64, 64, 64);(18, 5);(25, 45);0.013911135673522949
(64, 64, 64);(18, 5);(15, 60);0.002093600034713745
(64, 64, 64);(18, 5);(19, 14);0.01992073631286621
(64, 64, 64);(18, 5);(16, 61);0.0021835200786590576
(64, 64, 64);(18, 5);(24, 51);0.00621072006225586
(64, 64, 64);(18, 5);(24, 45);0.006227456092834473
(64, 64, 64);(18, 5);(19, 62);0.002050271987915039
(64, 64, 64);(18, 5);(12, 61);0.002083775997161865
(64, 64, 64);(18, 5);(17, 59);0.0028208000659942626
(64, 64, 64);(18, 5);(32, 45);0.008559071540832519
(64, 64, 64);(18, 5);(24, 50);0.0026783039569854734
(64, 64, 64);(18, 5);(25, 47);0.006105567932128906
(64, 64, 64);(18, 5);(24, 57);0.002661600112915039
(64, 64, 128);(63, 64);(43, 32);0.01898431968688965
(64, 64, 128);(63, 64);(46, 24);0.018833087921142577
(64, 64, 128);(63, 64);(46, 24);0.019253856658935548
(64, 64, 128);(63, 64);(23, 36);0.019108896255493165
(64, 64, 128);(63, 64);(33, 36);0.01909987258911133
(64, 64, 128);(63, 64);(26, 38);0.01893654441833496
(64, 64, 128);(63, 64);(33, 22);0.02621366310119629
(64, 64, 128);(63, 64);(24, 35);0.018660383224487306
(64, 64, 128);(63, 64);(32, 35);0.019522239685058593
(64, 64, 128);(63, 64);(40, 15);0.019145055770874022
(64, 64, 128);(63, 64);(26, 20);0.01984761619567871
(64, 64, 128);(63, 64);(41, 46);0.018910816192626953
(64, 64, 128);(63, 64);(51, 38);0.019190336227416994
(64, 64, 128);(63, 64);(18, 33);0.018900896072387697
(64, 64, 128);(63, 64);(24, 49);0.018655040740966796
(64, 64, 128);(63, 64);(50, 27);0.01870128059387207
(64, 64, 128);(63, 64);(21, 33);0.019422880172729494
(64, 64, 128);(63, 64);(34, 40);0.0185930233001709
(64, 64, 128);(63, 64);(11, 31);0.01880099105834961
(64, 64, 128);(63, 64);(30, 23);0.0189102725982666
(64, 64, 128);(63, 64);(36, 41);0.019371360778808595
(64, 64, 128);(63, 64);(32, 27);0.019361183166503905
(64, 64, 128);(63, 64);(38, 17);0.01905708885192871
(64, 64, 128);(63, 64);(34, 35);0.019170623779296875
(64, 64, 128);(63, 64);(38, 41);0.019512096405029298
(64, 64, 128);(63, 64);(17, 38);0.019283935546875
(64, 64, 128);(63, 64);(47, 27);0.01871308708190918
(64, 64, 128);(63, 64);(41, 33);0.018649599075317384
(64, 64, 128);(63, 64);(64, 64);0.0026130878925323484
(64, 64, 128);(63, 64);(21, 29);0.018563104629516602
(64, 64, 256);(13, 12);(64, 64);0.005551743984222412
(64, 64, 256);(13, 12);(63, 61);0.009214816093444824
(64, 64, 256);(13, 12);(64, 64);0.007111104011535645
(64, 64, 256);(13, 12);(64, 64);0.007582015991210937
(64, 64, 256);(13, 12);(64, 64);0.003946880102157593
(64, 64, 256);(13, 12);(64, 64);0.007031263828277588
(64, 64, 256);(13, 12);(64, 64);0.003930560111999512
(64, 64, 256);(13, 12);(64, 64);0.005292319774627686
(64, 64, 256);(13, 12);(64, 64);0.009212287902832031
(64, 64, 256);(13, 12);(64, 64);0.004324639797210693
(64, 64, 256);(13, 12);(64, 64);0.004003200054168701
(64, 64, 256);(13, 12);(64, 64);0.009441823959350585
(64, 64, 256);(13, 12);(64, 64);0.004034912109375
(64, 64, 256);(13, 12);(64, 52);0.008882719993591309
(64, 64, 256);(13, 12);(64, 64);0.004335135936737061
(64, 64, 256);(13, 12);(55, 63);0.017348480224609376
(64, 64, 256);(13, 12);(64, 64);0.004047008037567139
(64, 64, 256);(13, 12);(64, 64);0.00684006404876709
(64, 64, 256);(13, 12);(64, 50);0.01703433609008789
(64, 64, 256);(13, 12);(64, 64);0.007014783859252929
(64, 64, 256);(13, 12);(64, 64);0.006777472019195556
(64, 64, 256);(13, 12);(64, 64);0.00838361644744873
(64, 64, 256);(13, 12);(64, 64);0.009663583755493164
(64, 64, 256);(13, 12);(64, 64);0.005255616188049316
(64, 64, 256);(13, 12);(64, 64);0.00945359992980957
(64, 64, 256);(13, 12);(64, 51);0.020841888427734375
(64, 64, 256);(13, 12);(64, 64);0.004393951892852783
(64, 64, 256);(13, 12);(64, 64);0.012161664009094238
(64, 64, 256);(13, 12);(64, 64);0.009602368354797363
(64, 64, 256);(13, 12);(64, 64);0.004049088001251221
(64, 64, 512);(21, 17);(64, 64);0.010080575942993164
(64, 64, 512);(21, 17);(10, 16);0.03630268859863281
(64, 64, 512);(21, 17);(64, 64);0.007333471775054932
(64, 64, 512);(21, 17);(64, 64);0.009789088249206542
(64, 64, 512);(21, 17);(34, 23);0.0413109130859375
(64, 64, 512);(21, 17);(64, 64);0.007624351978302002
(64, 64, 512);(21, 17);(10, 17);0.057446464538574216
(64, 64, 512);(21, 17);(16, 11);0.07042829132080078
(64, 64, 512);(21, 17);(64, 64);0.014981120109558106
(64, 64, 512);(21, 17);(49, 30);0.017082048416137696
(64, 64, 512);(21, 17);(64, 60);0.012472831726074218
(64, 64, 512);(21, 17);(64, 64);0.010257856369018555
(64, 64, 512);(21, 17);(41, 17);0.03435424041748047
(64, 64, 512);(21, 17);(27, 17);0.04584089660644531
(64, 64, 512);(21, 17);(32, 48);0.02670751953125
(64, 64, 512);(21, 17);(64, 64);0.012311552047729492
(64, 64, 512);(21, 17);(9, 13);0.0596209602355957
(64, 64, 512);(21, 17);(64, 64);0.007502816200256348
(64, 64, 512);(21, 17);(64, 64);0.0074683518409729005
(64, 64, 512);(21, 17);(64, 64);0.007264768123626709
(64, 64, 512);(21, 17);(64, 64);0.01670035171508789
(64, 64, 512);(21, 17);(61, 57);0.014446623802185058
(64, 64, 512);(21, 17);(64, 64);0.012461536407470703
(64, 64, 512);(21, 17);(64, 64);0.007250080108642578
(64, 64, 512);(21, 17);(48, 49);0.043808353424072265
(64, 64, 512);(21, 17);(11, 13);0.06726982116699219
(64, 64, 512);(21, 17);(15, 3);0.06269257736206055
(64, 64, 512);(21, 17);(16, 22);0.031863616943359374
(64, 64, 512);(21, 17);(64, 61);0.012323904037475585
(64, 64, 512);(21, 17);(64, 63);0.012365632057189942
(64, 64, 1024);(29, 64);(17, 15);0.10484111785888672
(64, 64, 1024);(29, 64);(24, 23);0.10612445068359375
(64, 64, 1024);(29, 64);(64, 64);0.015500032424926757
(64, 64, 1024);(29, 64);(4, 22);0.1052332763671875
(64, 64, 1024);(29, 64);(19, 14);0.10440704345703125
(64, 64, 1024);(29, 64);(16, 21);0.1040598373413086
(64, 64, 1024);(29, 64);(9, 19);0.1042192611694336
(64, 64, 1024);(29, 64);(13, 8);0.10475949096679688
(64, 64, 1024);(29, 64);(12, 15);0.10466252899169921
(64, 64, 1024);(29, 64);(10, 14);0.10480758666992188
(64, 64, 1024);(29, 64);(16, 14);0.10444483184814453
(64, 64, 1024);(29, 64);(64, 64);0.015085599899291991
(64, 64, 1024);(29, 64);(11, 15);0.10517027282714844
(64, 64, 1024);(29, 64);(19, 20);0.10428937530517578
(64, 64, 1024);(29, 64);(16, 13);0.10434041595458984
(64, 64, 1024);(29, 64);(14, 16);0.11425347137451172
(64, 64, 1024);(29, 64);(14, 17);0.10955782318115234
(64, 64, 1024);(29, 64);(12, 16);0.10437948608398437
(64, 64, 1024);(29, 64);(25, 14);0.10434076690673828
(64, 64, 1024);(29, 64);(16, 14);0.10941414642333984
(64, 64, 1024);(29, 64);(16, 17);0.10505667114257812
(64, 64, 1024);(29, 64);(16, 14);0.11450457763671874
(64, 64, 1024);(29, 64);(18, 16);0.10481922912597656
(64, 64, 1024);(29, 64);(16, 14);0.10436787414550781
(64, 64, 1024);(29, 64);(13, 19);0.10449056243896485
(64, 64, 1024);(29, 64);(8, 23);0.10506140899658203
(64, 64, 1024);(29, 64);(14, 20);0.10483548736572265
(64, 64, 1024);(29, 64);(14, 11);0.10957545471191406
(64, 64, 1024);(29, 64);(16, 10);0.10436707305908204
(64, 64, 1024);(29, 64);(10, 14);0.10438454437255859
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.010823424339294434
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.020686912536621093
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.015735424041748047
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.00754585599899292
(64, 64, 64, 2);(52, 18, 46);(52, 18, 46);0.011242303848266601
