Shape;True Tucker Rank;Calculated Rank;Time
(16, 16);(7, 10);(7, 7);0.0008596479892730713
(16, 16);(7, 10);(7, 7);0.0005408959984779358
(16, 16);(7, 10);(7, 7);0.00047443199157714845
(16, 16);(7, 10);(7, 7);0.0004891520142555237
(16, 16);(7, 10);(7, 7);0.0004649600088596344
(16, 16);(7, 10);(7, 7);0.00046880000829696653
(16, 16);(7, 10);(7, 7);0.0004715200066566467
(16, 16);(7, 10);(7, 7);0.0005089280009269715
(16, 16);(7, 10);(7, 7);0.000510208010673523
(16, 16);(7, 10);(7, 7);0.00046860799193382263
(16, 16);(7, 10);(7, 7);0.00046163201332092283
(16, 16);(7, 10);(7, 7);0.00046268799901008606
(16, 16);(7, 10);(7, 7);0.0004639680087566376
(16, 16);(7, 10);(7, 7);0.0004620159864425659
(16, 16);(7, 10);(7, 7);0.00045980799198150633
(16, 16);(7, 10);(7, 7);0.00046883198618888854
(16, 16);(7, 10);(7, 7);0.0005686720013618469
(16, 16);(7, 10);(7, 7);0.00046979200839996336
(16, 16);(7, 10);(7, 7);0.0004734399914741516
(16, 16);(7, 10);(7, 7);0.0004567680060863495
(16, 16);(7, 10);(7, 7);0.0004607360064983368
(32, 32);(6, 8);(6, 6);0.0005875200033187867
(32, 32);(6, 8);(6, 6);0.0009431040287017822
(32, 32);(6, 8);(6, 6);0.0005734720230102539
(32, 32);(6, 8);(6, 6);0.000579967975616455
(32, 32);(6, 8);(6, 6);0.0005446720123291016
(32, 32);(6, 8);(6, 6);0.0005435519814491272
(32, 32);(6, 8);(6, 6);0.0005572159886360168
(32, 32);(6, 8);(6, 6);0.0010571199655532836
(32, 32);(6, 8);(6, 6);0.0005585600137710571
(32, 32);(6, 8);(6, 6);0.0005484480261802674
(32, 32);(6, 8);(6, 6);0.0005611519813537597
(32, 32);(6, 8);(6, 6);0.000556384027004242
(32, 32);(6, 8);(6, 6);0.0005608959794044494
(32, 32);(6, 8);(6, 6);0.0005558720231056214
(32, 32);(6, 8);(6, 6);0.0005549759864807128
(32, 32);(6, 8);(6, 6);0.0005566719770431519
(32, 32);(6, 8);(6, 6);0.0005530239939689636
(32, 32);(6, 8);(6, 6);0.0005458880066871643
(32, 32);(6, 8);(6, 6);0.0005591040253639222
(32, 32);(6, 8);(6, 6);0.0005498239994049072
(32, 32);(6, 8);(6, 6);0.0005515199899673462
(32, 32);(6, 8);(6, 6);0.0006625279784202576
(32, 32);(6, 8);(6, 6);0.000915552020072937
(32, 32);(6, 8);(6, 6);0.000566431999206543
(32, 32);(6, 8);(6, 6);0.0005635200142860413
(32, 32);(6, 8);(6, 6);0.000568831980228424
(32, 32);(6, 8);(6, 6);0.000558143973350525
(32, 32);(6, 8);(6, 6);0.0005568959712982178
(32, 32);(6, 8);(6, 6);0.0005593919754028321
(32, 32);(6, 8);(6, 6);0.0005815680027008057
(64, 64);(15, 8);(8, 8);0.004195263862609863
(64, 64);(15, 8);(8, 8);0.004013919830322265
(64, 64);(15, 8);(8, 8);0.0037428159713745117
(64, 64);(15, 8);(8, 8);0.0036733760833740233
(64, 64);(15, 8);(8, 8);0.004087103843688965
(64, 64);(15, 8);(8, 8);0.0040198397636413575
(64, 64);(15, 8);(8, 8);0.003750272035598755
(64, 64);(15, 8);(8, 8);0.0036158719062805177
(64, 64);(15, 8);(8, 8);0.004304160118103027
(64, 64);(15, 8);(8, 8);0.0036796159744262695
(64, 64);(15, 8);(8, 8);0.0036256959438323976
(64, 64);(15, 8);(8, 8);0.0037293119430541993
(64, 64);(15, 8);(8, 8);0.0039342079162597654
(64, 64);(15, 8);(8, 8);0.004098559856414795
(64, 64);(15, 8);(8, 8);0.0036274240016937256
(64, 64);(15, 8);(8, 8);0.0040310721397399905
(64, 64);(15, 8);(8, 8);0.0037335040569305418
(64, 64);(15, 8);(8, 8);0.0041595840454101566
(64, 64);(15, 8);(8, 8);0.003654527902603149
(64, 64);(15, 8);(8, 8);0.003959840059280396
(64, 64);(15, 8);(8, 8);0.003690079927444458
(64, 64);(15, 8);(8, 8);0.004060448169708252
(64, 64);(15, 8);(8, 8);0.0039571840763092045
(64, 64);(15, 8);(8, 8);0.0037787840366363527
(64, 64);(15, 8);(8, 8);0.0036453120708465577
(64, 64);(15, 8);(8, 8);0.0043368000984191895
(64, 64);(15, 8);(8, 8);0.003611232042312622
